Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCSFS,SXM-8,"7,000 kg",GTO,SpaceX,"Success
",F9 B5,Success,6 June 2021,04:26
2,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
3,CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.0B0004.1,Failure,8 December 2010,15:43
4,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0005.1,"No attempt
",22 May 2012,07:44
5,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,No attempt,8 October 2012,00:35
6,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,MDA,"Success
",F9 v1.0B0007.1,"No attempt
",1 March 2013,15:10
7,VAFB,CASSIOPE,500 kg,Polar orbit,SES,Success,F9 v1.1B1003,Uncontrolled,29 September 2013,16:00
8,CCAFS,SES-8,"3,170 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,3 December 2013,22:41
9,CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,Success,F9 v1.1,No attempt,6 January 2014,22:06
10,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,Orbcomm,"Success
",F9 v1.1,Controlled,18 April 2014,19:25
11,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,F9 v1.1,Controlled,14 July 2014,15:15
12,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00
13,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,Success,F9 v1.1,"No attempt
",7 September 2014,05:00
14,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,21 September 2014,05:52
15,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,USAF,Success,F9 v1.1,Failure ,10 January 2015,09:47
16,Cape Canaveral,DSCOVR,570 kg,HEO,ABS,"Success
",F9 v1.1,Controlled,11 February 2015,23:03
17,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,"Success
",F9 v1.1,No attempt,2 March 2015,03:50
18,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",F9 v1.1,Failure,14 April 2015,20:10
